TP_3.3V,-4.20,-16.10,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,9.60,16.10,0.00,TP_3V3,HECTOR_WATCH_1_TP20R
TP_BAT_GND,-21.50,-8.40,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,-6.80,-16.10,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,-18.60,10.40,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,-20.70,9.00,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,6.90,-16.00,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,-13.10,11.30,0.00,,HECTOR_WATCH_1_TP20R
TP_SDA,-20.75,11.15,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,17.20,-15.90,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,14.80,-16.10,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,4.30,-16.00,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,-19.20,12.70,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,-7.00,15.40,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U$13,19.00,1.30,90.00,,NORDIC_NRF_BT-XTAL_2016_N
U$6,8.10,7.00,225.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
U1,11.10,1.00,315.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,-15.60,13.60,0.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
